"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","doi","keywords","pubmed_id","pmc_id","notes"
"rayyan-176871693","Validity and Classification Accuracy of CBM Oral Reading and Maze to Identify Students at Risk for Reading Disabilities: A Review of Literature",2017,NA,NA,"[""Special Education Research"", ""특수교육""]","1598-7043",16,4,"5-32","Shin,, Jaehyun","","","",NA,"Purpose: The purpose of this study was to systematically synthesize the validity(concurrent and predictive) and classification accuracy(sensitivity and specificity) of CBM oral reading and maze task as screening tools for identifying students at-risk for reading disabilities in Grades 1-6. Specifically, this study focused on the classification accuracy of oral reading and maze to evaluate evidence for the two CBM measures as screening tools. Method: Twenty-three studies conducted in Grades 1-6 were systematically reviewed. Results: For oral reading, correlations appeared to vary in magnitude(r=.43-.75) across grades. Correlations for maze ranged from r=.49-.73 across Grades 3-5. In terms of classification accuracy, oral reading tended to show relatively lower level of sensitivity than specificity in Grades 1-3. However, this difference was not observed in intermediate grades. No classification accuracy results were reported for maze. Conclusion: Based on these findings, the evidence base of CBM oral reading and maze as screening tools was evaluated to identify students at-risk for reading comprehension difficulties. Implications for research and practice are discussed.     PU  - Special Education Research Institute","10.18541/ser.2017.11.16.4.5","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater3""=>""Excluded""} | USER-NOTES: {""rater1""=>[""edad""]}"
"rayyan-176871695","Sensitivity of an abbreviated neuropsychological battery in screening for reading disability",2010,NA,NA,"","978-1-124-14645-4",NA,NA,"","Kane, Cynthia     Z2  -  ","","","",NA,"","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater3""=>""Excluded""} | USER-NOTES: {""rater1""=>[""no lo encontre ni en ebsco ni en scopus""]}"
"rayyan-176871696","Sensitivity/Specificity of an Executive Function Screener at Detecting ADHD and Reading Disability",2016,NA,NA,"CLINICAL NEUROPSYCHOLOGIST","[""1385-4046"", ""1744-4144""]",30,5,"779-780","Karr, J. and Garcia-Barrera, M. A. and Kibby, M. Y.","","","",NA,"","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater3""=>""Excluded""} | USER-NOTES: {""rater1""=>[""no lo encuentro""]}"
"rayyan-176871698","[""Analyzing the Slope of Korean Maze CBM for Students with Reading Disabilities: Focusing on the Sensitivity of Slope and Differences in Gender and Grade"", ""읽기 장애학생을 위한 어절 선택 CBM 분석: 기울기 민감도, 성별, 학년 차이에 초점을 맞추어""]",2020,NA,NA,"[""The Korea Journal of Learning Disabilities"", ""학습장애연구""]","1738-7337",17,3,"159-176","Yeo,, Seungsoo","","","",NA,"It is necessary for teachers to use a progress monitoring tool to evaluate the effectiveness of their interventions for students with reading disabilities. Korean maze CBM in reading used in this study can be applied for measuring students’ progress in reading over time. The main focus of this study was on the sensitivity of slope as well as the difference in grade and gender. Participants were 93 first graders and 122 second-graders from three elementary schools. LMER(linear mixed effects regression) and AIC(Akaike information criterion) were used for answering research questions suggested in this study. Results from this study showed that Korean maze CBM possessed the good sensitivity of slope for first and second students. In addition, grade was an important predictor of Korean maze CBM scores. Implication for practice and research limitation are discussed.     PU  - The Korea Learning Disabilities Association","10.47635/KJLD.2020.17.3.159","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""fuera de nuestro rango de edad""]}"
"rayyan-176872835","Alouette-R Normative Data for French-Speaking School-Aged Children Living in Quebec",NA,1,1,"","",59,5,"","","","eng","",NA,"Background: The Alouette-R (2005) by Lefavrais is one of the most widely used tools to assess reading skills in French. However, this instrument does not have normative data specific to the French-speaking population of Quebec, Canada. Aims: The validity of an assessment being strongly compromised when using inappropriate norms, the first objective of this study was to establish local norms for the Alouette-R. The second objective was to provide sensitivity and specificity data for each Alouette-R measure in the French-speaking Quebec population. The third objective was to compare Quebec and French normative data and their sensitivity to better understand the applicability and effectiveness of the Alouette-R test at the regional level. Methods & Procedures: A total of 347 fluent readers and 48 children with dyslexia from 3rd to 6th grades were recruited from different regions in Quebec. Participants had to read aloud the 265-word text of the Alouette-R in a maximum of 3 min. Outcomes & Results: Norms (means, standard deviations and percentiles) by school grades were created for each test measure: reading time, number of words read, number of errors, number of words correctly read, reading accuracy index and reading fluency index. The sensitivity (i.e., the ability to correctly identify children with dyslexia) and specificity (i.e., the ability to correctly identify children without dyslexia) of these measurements were also documented. The norms and their sensitivity were then compared with those of the original French study by Lefavrais in 2005. Conclusions & Implications: The presence of differences between European and Quebec norms supports the importance of using local norms when assessing language skills. The reading accuracy and fluency indexes are the measurements that best discriminated children with dyslexia from those without a reading disorder in our study. This study will allow clinicians working in Quebec to have a better interpretation of the Alouette-R measurements and ultimately avoid erroneous conclusions resulting from the use of foreign normative data.","10.1111/1460-6984.13076","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Included"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""fuera de nuestro rango de edad ""]}"
"rayyan-176872836","Comparing Approaches to Predicting Risk for Dyslexia",NA,1,1,"","",NA,NA,"","","","eng","",NA,"Background: Dyslexia is a specific reading disability characterized by word recognition difficulties that can qualify a student for special education services under the ""Individuals with Disabilities Education Act"" (IDEA; 2004; Yudin, 2015). As of 2024, 49 US states have legislation defining dyslexia and enumerating for schools recommended or required dyslexia practices (National Center on Improving Literacy [NCIL], 2024). This legislation drives widespread universal screening and intervention efforts, as 39 states require that students be screened for dyslexia, 31 of which also require intervention based on those screening results (NCIL, 2024). Further, although schools are typically mandated to use screeners that assess foundational early literacy constructs, to date, no assessments have been specifically validated for the purpose of screening for dyslexia. Purpose: This study investigates the accuracy, validity, utility, and efficiency of various approaches to screening for dyslexia, using multiple longitudinal administrations of DIBELS 8 (University of Oregon, 2018), a literacy screener that is both widely used in schools and widely evoked in state dyslexia policy. Given substantial variation in state dyslexia definitions, we operationalize dyslexia using multiple measurement schemes, prioritizing the hybrid model of dyslexia described in Miciak and Fletcher (2020) and illustrated in Figure 1. Setting: In 2021-2022 and 2022-2023, 36 schools from 20 states representing all four US Census regions administered DIBELS 8 and standardized measures of word reading, phonological awareness, spelling, and vocabulary to an ability-stratified sample of Grade K-3 students. Prior to recruitment, schools were categorized into one of five strata based on The Generalizer, a tool for designing educational evaluations with a population perspective (Tipton, & Miller, 2024). See Figures 2 and 3 for a summary of the states represented and the school-level demographics used to stratify the sample. Participants: Across two years, measures were administered to 2,834 Grade 3 students, 2,342 Grade 2 students, 1,728 Grade 1 students, and 960 kindergarten students. Twenty-eight schools participated in both years, resulting in up to six DIBELS administrations and two sets of outcome measures on approximately 75% of participating students to date. Research Design: Each cohort of students is being followed through the end of third grade, or the end of the 2024-2025 school year, whichever comes first. The population of interest is students with or at risk for dyslexia and who are representative of similar students across the country. Thus, although schools typically administer DIBELS 8 to all students in participating grades, to reduce the testing burden, students selected for assessment with the standardized measures were sampled from across the range of ability levels. Students were grouped into quartiles based on their beginning of year (BOY) DIBELS 8 composite score and project staff randomly selected seven students from each of the two lowest quartiles, six students from the third quartile, and five students from the top quartile, resulting in a sample with varying proficiency levels. Data Collection and Analysis: Participating students were assessed three times per year on DIBELS 8 measures of phonological awareness, alphabetic principle, word knowledge, accuracy and fluency with connected text, and comprehension, and once at the end of the year (EOY) on a standardized measure of word reading (Torgesen et al., 2012). Using a planned missingness design (Little & Rhemtulla, 2013), students in each school additionally received either one or all three of the other standardized assessments: an individually administered reading readiness and reading achievement measure (Woodcock, 2011); a norm-referenced, group administered test of spelling (Larsen, Hammill, & Moats, 2013); and an individually administered, norm-referenced vocabulary assessment (Martin & Brownwell, 2011). See Table 1 for additional details regarding the alignment of measures to relevant hybrid model constructs. Variations on three analytic approaches are compared: ROC curve analyses (Habibzadeh, Habibzadeh, & Yadollahie, 2016), conceptual replications of a hybrid model approach that uses multiple sources of information to define reading disability (Schatschneider et al., 2016), and machine learning (ML) decision tree models that predict the hybrid model of dyslexia. Results: Using traditional ROC curve approaches, DIBELS 8 is highly predictive of individual standardized assessments in all grades. As shown in Figure 4, DIBELS 8 measures of Nonsense Word Fluency (NWF), Word Reading Fluency (WRF), Oral Reading Fluency (ORF), and the Composite score at all three times of year are highly predictive of the end of year (EOY) TOWRE Word Reading Efficiency Composite in grades 1 and 2, with all AUC values exceeding 0.80, and 20 of the 30 possible comparisons exceeding 0.90. Schatschneider et al. (2016) represents one of the only investigations to date into reading difficulty incidence rates and longitudinal classification stability but differs from these analyses in that results are based on simulated data. We found important and unexpected differences in incidence rates relative to those reported in Schatschneider et al., which are likely to impact longitudinal stability estimates. Specifically, present incidence rates suggest that the longitudinal stability of hybrid models are likely to be higher if the cut used is the 25th percentile, but slightly lower if the 15th percentile is used, and substantially lower if the 5th percentile is used. From a ML perspective, we compare the effectiveness of two decision tree-based methodologies: Classification and Regression Trees and Random Forest analyses using initial status and slopes for DIBELS 8 measures as predictors. Analyses are ongoing, but given findings to date, we expect these ML approaches that incorporate multiple measures and administrations to improve our ability to predict performance on a latent dyslexia construct, but that the stability of those estimates may differ depending on how dyslexia is operationalized, and the cut points chosen. Conclusions: Findings from this study offer educational stakeholders valuable information regarding the adequacy of using DIBELS 8 to screen for dyslexia longitudinally. Results to date suggest that, from the perspectives of content coverage and psychometric evidence, DIBELS 8 is well positioned to serve as a screener for dyslexia. Important questions remain regarding how to best operationalize risk for dyslexia and identify cut scores that balance accuracy, validity, and efficiency concerns.","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Included"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""no lo encuentro ""]}"
"rayyan-176872838","Cognitive Requirements of the Phonological Tests Affect Their Ability to Discriminate Children with and without Developmental Dyslexia",NA,1,1,"","",65,10,"","","","eng","",NA,"Purpose: The main purpose of this study was to investigate whether the performance on each of seven phonological processing (PP) tests from the Russian Test of Phonological Processing (RuToPP), with their varying levels of linguistic complexity and composite phonological indices, are significant predictors of developmental dyslexia (DD) and can reliably differentiate children with and without reading impairment. Additionally, we examined the general contribution of phonological skills to text reading fluency in children with various levels of reading performance. Method: A total of 173 Russian-speaking 7- to 11-year-old children participated in this study: 124 who were typically developing (TD) and 49 who had been diagnosed with DD. We assessed reading fluency with a standardized reading test and PP with the RuToPP. We investigated the potential of phonological skills to predict the presence or absence of a dyslexia diagnosis using multinomial logistic regression, receiver operating characteristic (ROC) curve analysis, and calculations of the sensitivity and specificity of each test and index. The contribution of phonological skills to reading fluency was also assessed in a mixed group of children. Results: Six of seven RuToPP tests were significant predictors of dyslexia. However, while the RuToPP correctly identified 93%-99% of TD children, for children with dyslexia, it ranged from 4% to 47% depending on the test. In a mixed group of children with and without dyslexia, performance in the more complex phonological tests was a stronger predictor of reading fluency. Conclusions: Our findings are consistent with the literature on predictors of literacy skills and dyslexia while uniquely demonstrating the impact of the complexity level of the phonological tests on the classification outcome. PP is a significant and necessary predictor of reading skills, but it is not sufficient for diagnostic purposes.","10.1044/2022_JSLHR-21-00687","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""edad""]}"
"rayyan-176872839","The 'Sound of Silence': Sensitivity to Silent Letters in Children with and without Developmental Language Disorder",NA,1,1,"","",52,4,"","","","eng","",NA,"Purpose: Children with developmental language disorder (DLD) demonstrate general spelling difficulties. This study investigated accuracy on and sensitivity to silent letters in spelling in children with and without DLD. Investigating silent-letter production provides a window into orthographic and morphological knowledge and enhances understanding of children's spelling skills. Method: A group of children with DLD (M[subscript age] = 9;11 [years;months]) and two control groups of typically developing children (n = 30 in each group) were given a dictated spelling task of 44 words that each contained a derivational or a nonderivational silent letter. We coded the silent letter in each word and counted 1 point for each correctly spelled letter in order to examine accuracy on silent letters. Two error patterns were distinguished to analyze sensitivity to silent letters: silent-letter substitutions and silent-letter omissions. Results: Repeated-measures ANOVA showed that children with DLD produced significantly more errors on silent letters than did both control groups. Both control groups showed a greater sensitivity to silent-letter endings, as they tended to substitute incorrect silent letters where they made errors. In contrast, children with DLD tended to omit silent letters in their spelling attempts. Conclusions: Our results suggest that silent-letter production is a major source of difficulty for spellers, especially for those with DLD, who appear to lack sensitivity to silent letters. These results highlight the importance of promoting spelling instruction to enhance orthographic knowledge in children with DLD.","10.1044/2021_LSHSS-21-00004","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater3""=>""Excluded""}"
"rayyan-176872842","Lexiroom: Web-Based Learning Media to Increase Phonological Awareness for Indonesian Dyslexic Children",NA,1,1,"","",12,4,"","","","eng","",NA,"Children with dyslexia may have adequate cognitive abilities but they often show considerable difficulties in reading where they are less accurate in spelling and pronouncing words. Phonological deficit is the main cause of reading disorders in dyslexic children, and hence, developing competence in phonological awareness is important to increase children's sensitivity to the structure of a word. This study aims to develop a web-based assistive technology called Lexiroom for Indonesian dyslexic children to increase their phonological awareness. This includes the aspects of syllable awareness, segmenting words into sounds, and manipulating sounds. As a preliminary study, the proposed learning media is implemented using a single subject design with a research and development approach. The results show that Lexiroom can improve the phonological awareness of a child diagnosed with dyslexia. However, Lexiroom still has limitations in doing speech recognition, so in making the next media it is necessary to consider the structure in speech recognition assets to minimize error answers that are inputted in the form of voice.","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater3""=>""Included""}"
"rayyan-176872843","Do Spelling and Vocabulary Improve Classification Accuracy of Children's Reading Difficulties over and above Word Reading?",NA,1,1,"","",58,2,"","","","eng","",NA,"It is widely recognized that individuals with dyslexia have difficulties with word reading and spelling, and individuals with reading comprehension difficulties have low vocabulary knowledge. However, little is known about the extent to which spelling and vocabulary are informative of reading difficulties. In the present study, we investigated whether information on students' spelling and vocabulary in kindergarten increases the precision of identifying students with reading difficulties, using longitudinal data from kindergarten to Grade 2. The sample was composed of 247 kindergartners (55% boys; 56% White children, 35% African American children, and 5% mixed-race children; 72% from low SES) who were followed to Grade 2. Spelling improved the accuracy of identifying students who experienced word reading difficulties in kindergarten and Grade 1. In contrast, vocabulary did not improve the accuracy of identifying students with reading difficulties over and above word reading and spelling. These results indicate the importance and utility of including spelling, in addition to word reading, as an integral part of accurately identifying children with reading difficulties as early as kindergarten. In addition, although vocabulary did not contribute additional predictive power, it is likely to exert its influence at a later phase of reading development. [For the corresponding grantee submission, see ED626819.]","10.1002/rrq.496","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Included"", ""rater2""=>""Included"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""no se si podemos incluirlo al ser un estudio longitudinal""]}"
